iter	RMSE
269	292873.5583
270	292867.1823
271	292814.1417
272	292746.2257
273	292716.4762
274	292697.0217
275	292637.9432
276	292633.1073
277	292596.2628
278	292538.1169
279	292480.8601
280	292454.5415
281	292420.7596
282	292355.2751
283	292328.0356
284	292296.6157
285	292271.3098
286	292235.5746
287	292176.176
288	292041.4434
289	292006.4867
290	291979.7665
291	291953.9593
292	291931.9076
293	291852.263
294	291760.683
295	291728.6329
296	291680.7034
297	291674.9519
298	291631.5801
299	291514.9239
300	291497.6547
301	291457.3844
302	291367.3367
303	291328.2796
304	291276.8505
305	291271.1767
306	291258.4371
307	291185.9829
308	291146.191
309	291071.6278
310	290996.7736
311	290958.5613
312	290889.6767
313	290884.9707
314	290802.1763
315	290782.1581
316	290732.3878
317	290728.3684
318	290636.2608
319	290553.084
320	290264.358
321	290163.3313
322	290126.4702
323	290014.4511
324	289967.6939
325	289907.3333
326	289893.5636
327	289634.6514
328	289625.5024
329	289593.383
330	289570.3336
331	289547.6843
332	289530.8653
333	289439.0601
334	289424.049
335	289402.541
336	289380.2238
337	289349.3859
338	289277.9051
339	289225.4852
340	289186.301
341	289166.0312
342	289122.973
343	289118.5132
344	289101.4473
345	289073.0375
346	289035.0366
347	288989.2893
348	288929.4365
349	288923.2937
350	288690.5696
351	288681.028
352	288656.1888
353	288605.7877
354	288584.5511
355	288530.3677
356	287943.3428
357	287915.2986
358	287845.5995
359	287815.3006
360	287768.7148
361	287764.7488
362	287741.139
363	287210.6952
364	287194.237
365	287134.5445
366	287077.1072
367	287040.2674
368	287019.734
369	287001.326
370	286949.3401
371	286903.4825
372	286884.9429
373	286874.7188
374	286835.7097
375	286803.8976
376	286780.0831
377	286754.3704
378	286724.2865
379	286702.5272
380	286269.3677
381	286245.955
382	286242.7603
383	286192.5083
384	286176.7498
385	286137.7862
386	286095.9741
387	286082.6483
388	286079.031
389	285685.7388
390	285631.8051
391	285620.0583
392	285593.7332
393	285122.3928
394	285041.5115
395	284968.4882
396	284862.9748
397	284796.9144
398	284737.2749
399	284683.4334
400	284486.8434
401	283959.1205
402	283951.7061
403	283613.1917
404	283143.6174
405	282773.5573
406	282732.7585
407	282731.2573
408	282717.7489
409	282687.8923
410	282651.0504
411	282606.5735
412	282571.9086
413	282558.8795
414	282511.148
415	282452.6303
416	282402.891
417	282282.8018
418	282186.6745
419	282160.424
420	282054.8619
421	282007.1413
422	281995.1478
423	281417.6617
424	281414.3948
425	281225.2997
426	280928.9349
427	280889.3819
428	280881.2717
429	280833.5908
430	280801.112
431	280787.4258
432	280518.8294
433	280504.9951
434	280470.4309
435	280446.0859
436	280410.9499
437	280397.4649
438	280334.0187
439	280332.7054
440	280323.1143
441	280274.2801
442	280228.4148
443	280214.4903
444	280124.1579
445	280083.4988
446	280038.2388
447	280008.1166
448	279971.5661
449	279958.6636
450	279900.5459
451	279899.3483
452	279866.3895
453	279814.5022
454	279767.3749
455	279761.2024
456	279685.5901
457	279672.5049
458	279652.491
459	279567.3343
460	279528.2876
461	279495.189
462	279401.0309
463	279360.9946
464	279355.7054
465	279345.0465
466	279265.3668
467	279040.4383
468	279036.3708
469	279012.9917
470	278987.1024
471	278921.5315
472	278665.8685
473	278630.7596
474	278495.5049
475	278465.8396
476	278460.2633
477	278386.741
478	278365.8105
479	278330.1713
480	278298.3065
481	278230.0788
482	278181.4085
483	278132.1475
484	278094.7815
485	277760.7408
486	277683.0152
487	277611.7639
488	277603.9237
489	277598.3604
490	277577.1526
491	277546.4752
492	277463.9662
493	277429.0618
494	276936.6018
495	276931.8378
496	276912.8072
497	276903.0941
498	276863.6612
499	276843.1284
