no,title,link
0," “돈 벌어가세요” 동대문 일요시장, 겨울옷 ‘핫플’ 됐다 ",http://v.daum.net/v/20251111111251709
1," 동대문구, 사회복지시설 종사자 독감 예방접종 비용 지원 ",http://v.daum.net/v/20251112081345203
2," 동대문구, ‘2025 아이돌봄서비스 평가’ A등급(우수) 선정 ",http://v.daum.net/v/20251111172914828
3," 노보텔 앰배서더 동대문, 연말 맞아 '페스티브 파티’ 패키지 출시 ",http://v.daum.net/v/20251111155426418
4," 동대문구, 11월 학부모·학생 맞춤형 교육 특강 ",http://v.daum.net/v/20251111151146411
5," 동대문구, 미취업 청년 4935명 도왔다 ",http://v.daum.net/v/20251112050406669
6," 한국청년회의소·서울동대문JC, 제2회 출생장려사업 개최 ",http://v.daum.net/v/20251111152547093
7," 음주운전 차, 동대문역서 인도 돌진...日 관광객 '사망' ",http://v.daum.net/v/20251103073316480
8," 동대문구, 관내 5대 의료단체와 의료·돌봄 통합지원 업무협약 체결 ",http://v.daum.net/v/20251111154633058
9," 노보텔 앰배서더 서울 동대문 호텔 & 레지던스, 서울 도심 속에서 즐기는 연말연시 파티 ‘페스티브 파티(Festive Party)’ 패키지 출시 ",http://v.daum.net/v/20251111174914728
10," 동대문구 장안동 10채 중 7채가 노후 주택, ‘힐스테이트 장안 센트럴’ 수요자 주목도 높아 ",http://v.daum.net/v/20251112092451583
11," 동대문구, ‘11월 자전거교실’ 개강… 올해 마지막 초보자 교육 진행 ",http://v.daum.net/v/20251110145114101
12," 동대문구, 4년간 청년 4935명에 자격증 응시료 8억 원 지원 ",http://v.daum.net/v/20251111075113226
13," 동대문구, 올해 세 번째 ‘사랑의 헌혈 운동’ 실시…682명 생명 나눔 동참 ",http://v.daum.net/v/20251111080450474
14," 서울 동대문구, 15일 배봉산정원 가족축제 개최 ",http://v.daum.net/v/20251104104517122
15," 동대문구, 관내 144명 학생에 1억3670만원 장학금 지급 ",http://v.daum.net/v/20251107161116880
16, 동대문·여의도 민주노총 시위 예고 ,http://v.daum.net/v/20251108090745451
17," 동대문구, 4년간 미취업 청년 4935명 자격취득 지원[동네방네] ",http://v.daum.net/v/20251111105649790
18," 동대문구, 청량리시장 1·2공영주차장까지 무인정산 확대 ",http://v.daum.net/v/20251107073911464
19," 동대문구, 5대 의료단체와 손잡고 ‘통합돌봄체계’ 구축 나선다 ",http://v.daum.net/v/20251111110225154
20," 동대문구, 25일까지 '주민 건강도시학교'···""건강하게 살자"" ",http://v.daum.net/v/20251109223318356
21," 동대문구, ‘2025 안전심포지엄’ 개최…실전 대응력 점검 ",http://v.daum.net/v/20251105150913954
22," 동대문문화재단, ‘찾아가는 문화행사’ 성황 개막 ",http://v.daum.net/v/20251106064448976
23," '해외연수비 과다청구' 의혹 동대문구의회 의장, 사과 요구하자 ""알아서 하겠다"" ",http://v.daum.net/v/20251106174500454
24," 동대문문화재단, 서울 최초 실내형 공개공간서 ‘찾아가는 문화행사’ 성황리 개최 ",http://v.daum.net/v/20251106113412671
25," 이필형 동대문구청장, 청년들과 ‘밥심’ 나눴다…“청년들, 구가 함께 응원” ",http://v.daum.net/v/20251106070314299
26, 서울 효제동 재개발 통과…동대문 일대 정비사업 탄력 ,http://v.daum.net/v/20251106162613974
27, 이종배 서울시의원 “동대문구 서울시립도서관 투자심사 통과 환영… 동대문구 발전 마중물 될 것” ,http://v.daum.net/v/20251104100914612
28," 동대문구, '안전심포지엄' 개최...가상 재난 대응 역량 점검[동네방네] ",http://v.daum.net/v/20251105155647420
29," 동대문구, 주민 참여 온라인 이벤트 운영 ",http://v.daum.net/v/20251031114913106
