iter	Passed	Remaining
412	3245	4612
413	3254	4606
414	3261	4596
415	3267	4587
416	3273	4576
417	3279	4566
418	3288	4560
419	3294	4549
420	3301	4539
421	3306	4529
422	3313	4519
423	3324	4516
424	3332	4509
425	3339	4499
426	3346	4491
427	3356	4486
428	3364	4477
429	3370	4468
430	3376	4458
431	3386	4453
432	3395	4445
433	3401	4436
434	3408	4426
435	3418	4422
436	3426	4414
437	3432	4404
438	3440	4396
439	3449	4390
440	3456	4381
441	3463	4372
442	3470	4363
443	3479	4357
444	3486	4348
445	3493	4339
446	3499	4329
447	3505	4319
448	3514	4313
449	3521	4303
450	3527	4294
451	3533	4284
452	3539	4274
453	3549	4268
454	3555	4258
455	3561	4249
456	3568	4239
457	3576	4232
458	3585	4225
459	3593	4218
460	3600	4209
461	3610	4204
462	3617	4195
463	3624	4187
464	3631	4178
465	3639	4170
466	3648	4164
467	3654	4154
468	3661	4145
469	3669	4138
470	3678	4131
471	3685	4123
472	3692	4113
473	3698	4104
474	3709	4099
475	3717	4092
476	3724	4083
477	3731	4074
478	3740	4068
479	3748	4060
480	3754	4051
481	3760	4041
482	3768	4033
483	3776	4025
484	3782	4016
485	3789	4007
486	3795	3997
487	3802	3989
488	3811	3982
489	3817	3973
490	3823	3963
491	3829	3953
492	3839	3948
493	3846	3939
494	3853	3931
495	3859	3922
496	3870	3916
497	3878	3909
498	3885	3901
499	3892	3892
500	3899	3883
501	3909	3878
502	3916	3869
503	3923	3861
504	3929	3852
505	3940	3846
506	3949	3839
507	3956	3831
508	3964	3824
509	3972	3816
510	3979	3808
511	3985	3799
512	3993	3791
513	4002	3784
514	4009	3776
515	4015	3766
516	4021	3757
517	4029	3749
518	4036	3740
519	4042	3731
520	4048	3721
521	4054	3713
522	4063	3705
523	4070	3697
524	4076	3688
525	4082	3678
526	4088	3669
527	4098	3663
528	4104	3654
529	4111	3646
530	4118	3637
531	4125	3629
532	4134	3622
533	4142	3614
534	4149	3606
535	4155	3597
536	4164	3590
537	4172	3583
538	4179	3574
539	4185	3565
540	4193	3558
541	4201	3550
542	4207	3541
543	4215	3533
544	4223	3526
545	4231	3518
546	4237	3509
547	4243	3500
548	4250	3491
549	4259	3484
550	4266	3477
551	4273	3468
552	4280	3459
553	4289	3453
554	4297	3445
555	4303	3436
556	4309	3427
557	4315	3418
558	4324	3411
559	4330	3402
560	4336	3393
561	4342	3384
562	4348	3375
563	4358	3369
564	4365	3360
565	4371	3352
566	4377	3342
567	4386	3336
568	4394	3328
569	4401	3320
570	4408	3312
571	4414	3303
572	4425	3297
573	4431	3289
574	4438	3280
575	4444	3271
576	4453	3264
577	4460	3256
578	4466	3247
579	4473	3239
580	4480	3231
581	4495	3228
582	4501	3219
583	4508	3211
584	4515	3203
585	4524	3196
586	4531	3187
587	4537	3179
588	4544	3171
589	4553	3164
590	4560	3156
591	4567	3147
592	4573	3138
593	4581	3131
594	4587	3122
595	4594	3114
596	4600	3105
597	4606	3096
598	4614	3089
599	4620	3080
600	4627	3072
601	4633	3063
602	4639	3054
603	4648	3047
604	4654	3039
605	4660	3030
606	4667	3021
607	4673	3013
608	4683	3006
609	4690	2999
610	4697	2990
611	4703	2982
612	4711	2974
613	4720	2967
614	4728	2960
615	4735	2951
616	4744	2944
617	4752	2937
618	4758	2929
619	4765	2921
620	4772	2912
621	4781	2905
622	4787	2897
623	4793	2888
624	4800	2880
625	4809	2873
626	4816	2865
627	4823	2857
628	4830	2848
629	4838	2841
630	4845	2833
631	4852	2825
632	4858	2816
633	4864	2808
634	4874	2801
635	4881	2793
636	4888	2785
637	4895	2777
638	4903	2770
639	4910	2762
640	4917	2754
641	4923	2745
642	4930	2737
643	4939	2730
644	4946	2722
645	4952	2714
646	4958	2705
647	4965	2697
648	4974	2690
649	4980	2681
650	4986	2673
651	4993	2665
652	5001	2657
653	5008	2649
654	5014	2641
655	5020	2632
656	5026	2624
657	5036	2617
658	5042	2609
659	5048	2600
660	5055	2592
661	5061	2584
662	5071	2577
663	5078	2570
664	5085	2562
665	5092	2553
666	5100	2546
667	5107	2538
668	5114	2530
669	5120	2521
670	5126	2513
671	5135	2506
672	5142	2498
673	5150	2491
674	5156	2482
675	5164	2475
676	5173	2468
677	5180	2460
678	5187	2452
679	5195	2444
680	5204	2437
681	5210	2429
682	5217	2421
683	5223	2413
684	5232	2406
685	5238	2398
686	5245	2389
687	5252	2381
688	5260	2374
689	5270	2368
690	5277	2360
691	5284	2351
692	5292	2344
693	5302	2338
694	5309	2330
695	5316	2322
696	5324	2314
697	5332	2307
698	5339	2299
699	5346	2291
700	5352	2282
701	5361	2276
702	5368	2267
703	5374	2259
704	5380	2251
705	5387	2243
706	5395	2236
707	5401	2227
708	5408	2219
709	5414	2211
710	5421	2203
711	5429	2196
712	5436	2188
713	5442	2180
714	5448	2171
715	5458	2165
716	5464	2157
717	5471	2148
718	5477	2140
719	5483	2132
720	5492	2125
721	5500	2118
722	5508	2110
723	5515	2102
724	5524	2095
725	5531	2087
726	5537	2079
727	5543	2071
728	5551	2063
729	5558	2056
730	5565	2048
731	5571	2039
732	5577	2031
733	5586	2024
734	5592	2016
735	5599	2008
736	5605	2000
737	5612	1992
738	5621	1985
739	5627	1977
740	5634	1969
741	5641	1961
742	5647	1953
743	5657	1946
744	5663	1938
745	5670	1930
746	5677	1922
747	5686	1915
748	5693	1907
749	5699	1899
750	5706	1891
751	5713	1884
752	5722	1877
753	5730	1869
754	5736	1861
755	5741	1853
756	5750	1846
757	5757	1838
758	5763	1830
759	5769	1821
760	5775	1813
761	5784	1806
762	5790	1798
763	5796	1790
764	5802	1782
765	5808	1774
766	5817	1767
767	5823	1759
768	5829	1751
769	5835	1743
770	5841	1734
771	5850	1727
772	5856	1719
773	5862	1711
774	5869	1704
775	5876	1696
776	5884	1689
777	5891	1681
778	5897	1673
779	5902	1664
780	5911	1657
781	5918	1650
782	5925	1642
783	5932	1634
784	5938	1626
785	5947	1619
786	5953	1611
787	5959	1603
788	5965	1595
789	5971	1587
790	5980	1580
791	5986	1572
792	5992	1564
793	5998	1556
794	6004	1548
795	6014	1541
796	6020	1533
797	6026	1525
798	6032	1517
799	6040	1510
800	6048	1502
801	6054	1494
802	6060	1486
803	6066	1478
804	6075	1471
805	6082	1463
806	6088	1456
807	6094	1448
808	6100	1440
809	6110	1433
810	6118	1425
811	6124	1418
812	6131	1410
813	6138	1402
814	6146	1395
815	6152	1387
816	6158	1379
817	6164	1371
818	6172	1364
819	6179	1356
820	6185	1348
821	6190	1340
822	6197	1332
823	6205	1325
824	6211	1317
825	6218	1309
826	6223	1301
827	6229	1294
828	6239	1286
829	6245	1279
830	6251	1271
831	6257	1263
832	6263	1255
833	6272	1248
834	6279	1240
835	6286	1233
836	6292	1225
837	6299	1217
838	6307	1210
839	6314	1202
840	6320	1194
841	6326	1187
842	6335	1180
843	6343	1172
844	6349	1164
845	6355	1156
846	6362	1149
847	6371	1141
848	6377	1134
849	6383	1126
850	6389	1118
851	6398	1111
852	6405	1103
853	6411	1096
854	6417	1088
855	6423	1080
856	6431	1073
857	6438	1065
858	6445	1057
859	6451	1050
860	6457	1042
861	6467	1035
862	6473	1027
863	6480	1020
864	6487	1012
865	6495	1005
866	6502	997
867	6509	989
868	6515	982
869	6522	974
870	6532	967
871	6539	959
872	6545	952
873	6551	944
874	6560	937
875	6566	929
876	6572	921
877	6579	914
878	6584	906
879	6593	899
880	6599	891
881	6606	883
882	6612	876
883	6617	868
884	6626	861
885	6633	853
886	6639	845
887	6645	838
888	6651	830
889	6660	823
890	6667	815
891	6673	807
892	6679	800
893	6685	792
894	6694	785
895	6701	777
896	6707	770
897	6713	762
898	6719	754
899	6728	747
900	6735	740
901	6741	732
902	6747	724
903	6754	717
904	6761	709
905	6767	702
906	6773	694
907	6779	686
908	6787	679
909	6794	671
910	6800	664
911	6806	656
912	6811	649
913	6820	641
914	6827	634
915	6834	626
916	6840	619
917	6845	611
918	6854	604
919	6860	596
920	6867	589
921	6872	581
922	6877	573
923	6884	566
924	6891	558
925	6897	551
926	6903	543
927	6909	536
928	6916	528
929	6923	521
930	6930	513
931	6936	506
932	6943	498
933	6952	491
934	6958	483
935	6964	476
936	6969	468
937	6975	461
938	6985	453
939	6991	446
940	6997	438
941	7003	431
942	7009	423
943	7018	416
944	7024	408
945	7029	401
946	7035	393
947	7041	386
948	7048	378
949	7056	371
950	7062	363
951	7068	356
952	7074	348
953	7083	341
954	7090	334
955	7095	326
956	7101	319
957	7105	311
958	7114	304
959	7119	296
960	7126	289
961	7132	281
962	7138	274
963	7148	266
964	7153	259
965	7158	251
966	7164	244
967	7170	237
968	7179	229
969	7184	222
970	7190	214
971	7197	207
972	7203	199
973	7212	192
974	7218	185
975	7225	177
976	7231	170
977	7236	162
978	7245	155
979	7250	147
980	7256	140
981	7262	133
982	7268	125
983	7277	118
984	7283	110
985	7289	103
986	7295	96
987	7302	88
988	7310	81
989	7316	73
990	7321	66
991	7327	59
992	7333	51
993	7343	44
994	7350	36
995	7356	29
996	7362	22
997	7370	14
998	7377	7
999	7383	0
